,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19
count,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0
mean,599.9434848573841,604.27599521408,640.0287802966478,601.1833165676394,629.3925922102258,584.0032587141338,654.9313041848623,621.1539801411429,672.1829248885855,642.1571801149173,654.5425666735503,567.8348063605725,637.7764297055144,640.9964926979294,630.3969756789186,557.3990953648114,539.745999819044,584.5226560177706,544.4100058961892,640.9029504182421
std,288.02701579532965,293.26296464507595,301.56046629976186,280.5767087081703,293.3095471402505,275.4661698793776,309.63559634058777,290.9158723716097,319.5006636093009,312.95302889250496,315.745881335866,276.6301734089248,302.2061487995308,302.53755282025816,297.3846919058176,262.38303902047426,271.1313762820921,279.6855596714654,268.4990724139421,299.0204944831899
min,145.11626539707618,142.70255039612846,156.7042670886642,156.6174845558591,156.50745586001534,147.85435126297503,157.16628308750498,162.10486442472813,157.82995910252876,142.7374141271374,153.82300256284302,138.09846740353706,158.18191526785583,159.27387522570092,160.01177338517414,145.41156939121169,116.0421467564213,140.97213579962533,126.53382702042768,164.6955323515083
25%,300.4377977100486,299.4283155566215,327.2151744095015,312.2249866262895,327.39121941326397,299.46550083118166,331.4690432041951,318.71184777794497,340.5884634149128,316.3548498718975,324.75546105338464,285.3679942704863,326.2597404655544,325.63887025104896,321.4986169327377,286.58895722200947,267.02210136518477,296.43539899452765,269.8989608429411,330.5410296776045
50%,659.9676165723201,661.7386455566539,698.5225346468129,657.7021784900627,680.177829788145,634.6343712410921,721.3671826034622,675.9462906146002,751.6693493724545,703.3795846477337,722.1207561386657,609.366712486029,684.8546639293143,703.0062125578305,689.8318523668851,612.2727676444332,582.3888711216624,635.3830293943391,589.8802449099323,701.3861643380947
75%,850.1722333889007,856.591605223375,881.1635173236954,842.2490826077785,869.4928593268567,825.9698753386243,893.8191156891659,870.9748851232519,922.2349325329286,907.8443893784255,908.1512637384375,811.6272824149202,889.9321357467607,892.0585373083511,880.0000829634685,785.6956767832911,773.6845474532183,825.5340475548846,775.1743309929509,892.3134775712973
max,1131.2218403040026,1150.4372171442558,1226.6466836624775,1128.5665450254821,1178.0028509226938,1128.6580608047936,1282.7384147283497,1161.5037805036175,1306.1202706342385,1238.4245910806496,1268.2666539511497,1102.5326130429287,1227.039390753514,1212.1337520179895,1203.6168735912806,1098.8670037795969,1091.5670426476859,1112.3992082363334,1100.005992951927,1207.699229339726
